#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:16S_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:16S_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:16S_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.16S_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:16S_alignment" name="distribution" x="@birthRate.t:16S_alignment">
#            <Gamma id="Gamma.6" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="alpha" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="beta" spec="beast.core.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="FrequenciesPrior.s:16S_alignment" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.7" name="distr"/>
#        </prior>
#        <prior id="RateACPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateAC.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateAT.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateCG.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateGT.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.12" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.13" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@16S_alignment" id="treeLikelihood.16S_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:16S_alignment">
#            <siteModel id="SiteModel.s:16S_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:16S_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:16S_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:16S_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:16S_alignment" rateAC="@rateAC.s:16S_alignment" rateAT="@rateAT.s:16S_alignment" rateCG="@rateCG.s:16S_alignment" rateGT="@rateGT.s:16S_alignment" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateAG.s:16S_alignment" lower="0.0" name="rateAG" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter estimate="false" id="rateCT.s:16S_alignment" lower="0.0" name="rateCT" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <frequencies frequencies="@freqParameter.s:16S_alignment" id="estimatedFreqs.s:16S_alignment" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:16S_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:16S_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	rateAC	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
20000	-15708.631735998288	-15700.867632178917	-7.76410381937063	-15700.867632178917	0.2967128430062399	7.504325236919584	3.294320499304161	0.8883087999270123	0.9558469903272653	0.04727097529053039	0.08705429767998439	0.2747014505246601	0.2431363366310219	0.21340554256074723	0.2687566702835706
21000	-15711.705678605436	-15704.738047733968	-6.967630871467215	-15704.738047733968	0.29529589935523515	8.931834013272299	6.1779156384842056	0.8883087999270123	0.9558469903272653	0.04727097529053039	0.08705429767998439	0.2747014505246601	0.2431363366310219	0.21340554256074723	0.2687566702835706
22000	-15715.66506593337	-15707.75669756841	-7.90836836496023	-15707.75669756841	0.2927881471980752	8.252479980628262	7.899882701600427	0.9003892421263653	0.9558469903272653	0.04727097529053039	0.08705429767998439	0.2747014505246601	0.2431363366310219	0.21268774495902085	0.26947446788529694
23000	-15703.916667878777	-15697.799422955992	-6.117244922784349	-15697.799422955992	0.29260191631455024	9.155243442380211	4.9831884230195955	0.6452210850638519	0.9558469903272653	0.04727097529053039	0.07982888488992271	0.2747014505246601	0.2431363366310219	0.21268774495902085	0.26947446788529694
24000	-15682.949079615488	-15675.026136977189	-7.922942638298207	-15675.026136977189	0.2948314845771955	6.880167836562146	2.8719147406295362	0.6452210850638519	0.8512793891425705	0.0548492768900636	0.0851450448795279	0.28052986787282486	0.2431363366310219	0.21268774495902085	0.2636460505371322
25000	-15668.864548122381	-15661.318563569239	-7.54598455314225	-15661.318563569239	0.3053029318618485	8.044833345560471	6.768123546223108	0.6452210850638519	0.8512793891425705	0.0548492768900636	0.07893413158855869	0.28052986787282486	0.2529434155566955	0.2028806660333473	0.2636460505371322
26000	-15670.359165647957	-15662.210820489247	-8.148345158710402	-15662.210820489247	0.3238906742454191	7.348414188447487	7.767291054802928	0.6452210850638519	0.6161393856685823	0.039010339419896733	0.12268208369596134	0.28052986787282486	0.24607465250571117	0.2028806660333473	0.27051481358811647
27000	-15657.919779906213	-15651.263927620546	-6.655852285667461	-15651.263927620546	0.31268070456190217	8.555034220470173	4.971911226022096	0.6452210850638519	0.7229775777567428	0.039010339419896733	0.12268208369596134	0.28055001077785996	0.24605450960067604	0.2028806660333473	0.27051481358811647
28000	-15661.021591614113	-15653.86455482658	-7.157036787533304	-15653.86455482658	0.2999427223781998	7.725134206064153	3.5828201552516163	0.6452210850638519	0.7229775777567428	0.039010339419896733	0.12268208369596134	0.27875568126398875	0.24605450960067604	0.2028806660333473	0.27230914310198767
29000	-15645.680669497635	-15639.047562896207	-6.6331066014283895	-15639.047562896207	0.30539562063739784	8.446859928543937	4.363881570663793	0.6452210850638519	0.7229775777567428	0.039010339419896733	0.12268208369596134	0.28139902252708326	0.2532026487246667	0.19308918564626215	0.27230914310198767
30000	-15650.96362901964	-15644.012257440121	-6.951371579518382	-15644.012257440121	0.31135369315748296	8.46936979889537	6.140838935617365	0.6060759416839601	0.7229775777567428	0.041591027292073146	0.12268208369596134	0.28139902252708326	0.2532026487246667	0.19308918564626215	0.27230914310198767
31000	-15653.107387584856	-15646.60491947863	-6.502468106226107	-15646.60491947863	0.30274030347788783	8.213769599618663	4.0791409280705775	0.6060759416839601	0.6020298670026205	0.03714824813454499	0.12268208369596134	0.28139902252708326	0.2532026487246667	0.19308918564626215	0.27230914310198767
32000	-15659.71231565302	-15652.555577173622	-7.156738479397881	-15652.555577173622	0.3129862145056518	8.147600790951834	6.740386820246943	0.6060759416839601	0.6624847304389798	0.044017908797445375	0.10224864390810519	0.28139902252708326	0.2507044773893344	0.19308918564626215	0.27480731443732
33000	-15650.313515219	-15641.26969028614	-9.04382493285959	-15641.26969028614	0.3127914950397211	6.290727581018439	8.64282392161084	0.6060759416839601	0.6624847304389798	0.044017908797445375	0.0812864811524953	0.28139902252708326	0.2507044773893344	0.19308918564626215	0.27480731443732
34000	-15649.078593813127	-15642.853583224864	-6.225010588264002	-15642.853583224864	0.30469097233832715	8.601568227975097	5.195472514812294	0.6060759416839601	0.6624847304389798	0.04419844815433875	0.0812864811524953	0.28139902252708326	0.2507044773893344	0.19308918564626215	0.27480731443732
35000	-15648.286899918352	-15641.583966812967	-6.7029331053861405	-15641.583966812967	0.295590197755152	7.786336941222844	7.595057864754603	0.6060759416839601	0.6624847304389798	0.02078582353501962	0.0812864811524953	0.28139902252708326	0.2507044773893344	0.19209730906375397	0.27579919101982814
36000	-15651.02690860207	-15643.970189487734	-7.05671911433571	-15643.970189487734	0.29811407741418483	7.110796873363642	3.1215379566283428	0.6060759416839601	0.6624847304389798	0.03784619108281685	0.0812864811524953	0.28139902252708326	0.2507044773893344	0.19209730906375397	0.27579919101982814
37000	-15646.40840613066	-15640.234062010943	-6.1743441197183335	-15640.234062010943	0.3140243398283458	8.397803733591108	4.728136848781173	0.6060759416839601	0.6548566282029957	0.03784619108281685	0.0812864811524953	0.28139902252708326	0.2507044773893344	0.19209730906375397	0.27579919101982814
38000	-15649.049273857983	-15642.43349475511	-6.6157791028728985	-15642.43349475511	0.30544082128527655	8.204641857336789	6.359244767729413	0.6060759416839601	0.6341841368287469	0.03784619108281685	0.07986520098757652	0.28139902252708326	0.2507044773893344	0.19209730906375397	0.27579919101982814
39000	-15633.384375071699	-15627.200141273772	-6.184233797927365	-15627.200141273772	0.31638612477799555	8.293047889581535	4.737896359913242	0.5782131594092379	0.6341841368287469	0.03784619108281685	0.07986520098757652	0.2877028141132906	0.2507044773893344	0.1857935174775467	0.27579919101982814
40000	-15634.722318335564	-15628.437578076675	-6.284740258888681	-15628.437578076675	0.30425122539598626	8.525489925375119	5.9258482892942315	0.5782131594092379	0.6341841368287469	0.04239383131043383	0.07986520098757652	0.2877028141132906	0.2507044773893344	0.1857935174775467	0.27579919101982814
41000	-15644.16029481191	-15637.460119491394	-6.700175320516049	-15637.460119491394	0.30804036826913656	7.9320193253549265	4.417086222822106	0.5782131594092379	0.6341841368287469	0.04239383131043383	0.09023619496533844	0.2894125286501653	0.2489947628524596	0.1857935174775467	0.27579919101982814
